2024-08-27 17:16:29 UTC | SECURITY | ERROR | (pkg/security/agent/agent.go:110 in StartEventListener) | error while connecting to the runtime security module: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/sysprobe/runtime-security.sock: connect: no such file or directory", please check that the runtime security module is enabled in the system-probe.yaml config file
2024-08-27 17:16:30 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:16:30 UTC | SECURITY | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:16:30 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:30 UTC | SECURITY | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:30 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:31 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 9
2024-08-27 17:16:35 UTC | SECURITY | ERROR | (pkg/security/agent/agent.go:110 in StartEventListener) | error while connecting to the runtime security module: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/sysprobe/runtime-security.sock: connect: no such file or directory", please check that the runtime security module is enabled in the system-probe.yaml config file
2024-08-27 17:16:36 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 9
2024-08-27 17:16:36 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:36 UTC | SECURITY | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:36 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:41 UTC | SECURITY | ERROR | (pkg/security/agent/agent.go:110 in StartEventListener) | error while connecting to the runtime security module: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/sysprobe/runtime-security.sock: connect: no such file or directory", please check that the runtime security module is enabled in the system-probe.yaml config file
2024-08-27 17:16:41 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 9
2024-08-27 17:16:44 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task a625053bc238326472b37efa5e343b0b0743dbd5358340a904cde9ab4e83c2ea not found: not found
2024-08-27 17:16:44 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task a625053bc238326472b37efa5e343b0b0743dbd5358340a904cde9ab4e83c2ea not found: not found
2024-08-27 17:16:46 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 1 changed pods out of 8
2024-08-27 17:16:48 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:16:48 UTC | SECURITY | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:16:48 UTC | SECURITY | INFO | (pkg/util/clusteragent/clusteragent.go:145 in init) | Successfully connected to the Datadog Cluster Agent 7.55.2+commit.be4db09
2024-08-27 17:16:48 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "kube_metadata" started successfully
2024-08-27 17:16:51 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:16:56 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:16:57 UTC | SECURITY | ERROR | (pkg/security/agent/agent.go:110 in StartEventListener) | error while connecting to the runtime security module: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/sysprobe/runtime-security.sock: connect: no such file or directory", please check that the runtime security module is enabled in the system-probe.yaml config file
2024-08-27 17:17:01 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:06 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
