File path                                          | mode  | owner      | group      | error     |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_cisco-asa.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/ebpf-debug.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/fortinet-fortigate.yaml | -rw-r--r-- | root       | root       |           |
/var/run/sysprobe                                  | drwxrwxrwx | root       | root       |           |
/etc/datadog-agent/conf.d/consul.d/auto_conf.yaml  | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/couch.d/auto_conf.yaml   | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/istio.d/auto_conf.yaml   | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/fortinet-appliance.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/tp-link.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime/usm.c | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_aruba-switch-cpu-memory.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_fortinet-fortigate-cpu-memory.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-entity-sensor.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/brocade.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/generic-router.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/mikrotik-router.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/omron-cj-ethernet-ip.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/sbom.d/conf.yaml.default | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/tcp-queue-length-debug.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/cpu.d/conf.yaml.default  | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/extreme-switching.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/juniper-mx.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/ebpf.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/cilium.d/auto_conf.yaml  | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/3com-huawei.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_base_cisco.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-ucd.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/generic-device.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/tracer.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/cassandra.d/metrics.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/etcd.d/auto_conf.yaml    | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_palo-alto.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/citrix-netscaler-sdx.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/usm-debug.o | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/run/version-history.json        | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/presto.d/auto_conf.yaml  | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/btf | drwxr-xr-x | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco-access-point.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/fireeye.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/hp-ilo.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/huawei-routers.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/juniper.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_generic-router-ospf.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/checks.d                        |       |            |            | could not stat file /opt/datadog-agent/checks.d: stat /opt/datadog-agent/checks.d: no such file or directory|
/etc/datadog-agent/conf.d/io.d/conf.yaml.default   | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_arista-queue.yaml | -rw-r--r-- | root       | root       |           |
